Time,temperature,humidity,light,sound
1:56,28.5,80.0,0,39.0
2:56,28.4,81.2,0,39.4
3:56,28.5,81.3,0,44.7
4:56,28.4,81.8,6,39.7
5:57,28.5,82.4,23,40.3
6:57,28.6,83.5,133,45.0
7:57,29.0,84.3,181,48.2
8:57,29.3,83.9,341,42.9
9:57,29.9,83.1,586,42.8
10:45,28.4,57.8,403,66.3
10:45,28.3,56.0,644,57.4
11:42,29.0,58.6,297,61.2
13:33,32.8,38.5,1161,38.9
13:33,32.8,38.7,1284,39.6
13:33,32.4,39.0,1147,38.8
13:33,32.4,39.3,1292,39.8
13:52,35.0,37.2,1482,41.3
13:52,35.1,37.2,1345,41.2
13:52,35.0,36.5,1350,40.2
13:52,35.0,36.3,1336,40.5
13:52,34.9,36.3,1371,41.4
13:52,34.7,37.0,1275,39.5
