Time,temperature,humidity,light,sound
13:11,31.7,61.1,295,41.2
13:11,32.1,59.6,276,42.6
13:11,32.2,59.6,270,41.7
13:11,32.2,59.6,264,44.2
13:13,32.4,58.9,51,45.9
13:15,31.0,63.7,467,44.6
13:15,31.0,67.0,719,42.8
13:16,31.5,87.5,9,41.8
13:16,31.5,80.4,415,42.4
13:16,31.4,71.9,678,42.5
13:16,31.4,73.0,634,44.6
14:16,29.3,76.9,671,41.4
15:16,29.4,76.9,480,42.4
15:58,30.6,75.6,517,45.6
15:58,30.7,76.7,515,42.2
15:58,30.7,75.2,219,51.3
16:1,30.7,77.4,559,41.4
16:2,30.6,80.9,392,42.2
17:2,28.8,77.2,140,43.6
18:2,29.0,78.2,280,43.7
19:2,28.7,80.4,1,40.8
20:2,28.4,81.2,0,41.3
21:2,28.3,81.3,0,42.1
22:2,28.0,81.0,0,42.2
23:2,27.9,81.8,0,40.2
