Time,temperature,humidity,light,sound
0:11,29.0,58.3,0,37.2
0:11,29.0,58.4,0,37.4
0:11,29.0,58.3,0,37.3
0:12,29.0,58.2,0,37.0
0:12,29.0,58.3,0,37.4
0:12,29.0,58.3,0,37.2
0:12,29.0,58.3,0,37.0
0:12,29.0,58.3,0,37.2
0:12,29.0,58.4,0,37.4
0:12,29.0,58.3,0,37.4
0:12,29.0,58.4,0,37.4
0:12,29.0,58.2,0,37.4
0:12,29.0,58.3,0,37.3
0:12,29.0,58.3,0,37.2
0:12,29.0,58.2,0,37.3
0:12,29.0,58.3,0,37.7
0:12,29.0,58.3,0,37.0
0:12,29.0,58.2,0,37.1
0:13,29.0,58.3,0,37.6
0:13,29.0,58.3,0,37.1
0:13,29.0,58.2,0,37.3
0:13,29.0,58.3,0,37.0
0:13,29.0,58.3,0,37.0
0:13,29.0,58.3,0,37.1
0:13,29.0,58.3,0,37.4
0:13,29.0,58.2,0,37.3
0:13,29.0,58.4,0,37.2
0:13,29.0,58.4,0,37.4
0:13,29.0,58.3,0,37.1
0:13,29.0,58.4,0,37.4
0:13,29.0,58.3,0,37.2
0:13,29.0,58.4,0,37.2
0:13,29.0,58.4,0,37.1
0:14,29.0,58.4,0,37.4
0:14,29.0,58.3,0,36.8
0:14,29.0,58.3,0,37.0
0:14,29.0,58.2,0,37.1
0:14,29.0,58.3,0,37.4
0:14,29.0,58.2,0,37.0
0:14,29.0,58.3,0,37.3
0:14,29.0,58.3,0,37.5
0:14,29.0,58.3,0,37.2
0:14,29.0,58.4,0,37.6
0:14,29.0,58.3,0,37.2
0:14,29.0,58.3,0,37.5
0:14,29.0,58.3,0,37.7
0:14,29.0,58.3,0,37.4
0:14,29.0,58.2,0,37.2
0:15,29.0,58.3,0,37.4
0:15,29.1,58.4,0,37.2
0:15,29.0,58.4,0,37.3
0:15,29.0,58.4,0,37.3
0:15,29.0,58.4,0,37.2
0:15,29.0,58.3,0,37.2
0:15,29.0,58.2,0,37.3
0:15,29.0,58.3,0,37.3
0:15,29.0,58.3,0,37.3
0:15,29.0,58.2,0,37.4
0:15,29.1,58.3,0,37.4
0:15,29.0,58.3,0,36.8
